datetime,serial,frame,lat,lon,alt,heading,vel_h,vel_v,batt,temp
2023-02-12 12:12:18+00:00,22050738,1360239138,36.46367,-79.83534,13404.1,61.38,40.2,5.52,,-52.6
2023-02-12 12:12:20+00:00,22050738,1360239140,36.46399,-79.83457,13414.5,64.06,37.86,2.99,4.8,-52.6
2023-02-12 12:12:21+00:00,22050738,1360239141,36.46414,-79.8342,13418.8,61.61,37.46,5.61,4.8,-52.6
2023-02-12 12:12:22+00:00,22050738,1360239142,36.46431,-79.83382,13424.6,60.01,39.44,5.87,4.8,-52.7
2023-02-12 12:12:23+00:00,22050738,1360239143,36.4645,-79.83344,13431.1,57.52,41.04,7.4,4.8,-52.7
2023-02-12 12:12:24+00:00,22050738,1360239144,36.4647,-79.83305,13438.1,56.38,42.02,6.46,4.8,-52.8
2023-02-12 12:12:25+00:00,22050738,1360239145,36.46491,-79.83266,13445.4,58.43,41.95,8.01,4.8,-52.8
2023-02-12 12:12:26+00:00,22050738,1360239146,36.4651,-79.83227,13453.3,58.8,39.23,7.66,4.8,-52.8
2023-02-12 12:12:27+00:00,22050738,1360239147,36.46527,-79.8319,13459.8,62.07,37.58,5.6,4.8,-52.9
2023-02-12 12:12:28+00:00,22050738,1360239148,36.46542,-79.83153,13464.8,64.96,35.83,4.37,4.79,-52.9
2023-02-12 12:12:29+00:00,22050738,1360239149,36.46555,-79.83116,13469.6,68.5,36.56,5.59,4.79,-52.9
2023-02-12 12:12:30+00:00,22050738,1360239150,36.46567,-79.83077,13475.5,69.78,38.77,6.31,4.79,-52.9
2023-02-12 12:12:31+00:00,22050738,1360239151,36.4658,-79.83035,13482.1,66.84,41.19,6.91,4.79,-53.0
2023-02-12 12:12:33+00:00,22050738,1360239153,36.46615,-79.8295,13495.8,59.81,44.44,4.35,4.79,-53.1
2023-02-12 12:12:35+00:00,22050738,1360239155,36.46658,-79.82866,13507.2,57.13,43.92,6.72,4.79,-53.1
2023-02-12 12:12:36+00:00,22050738,1360239156,36.46679,-79.82826,13513.7,56.29,42.39,6.8,4.79,-53.2
2023-02-12 12:12:37+00:00,22050738,1360239157,36.46699,-79.82786,13521.0,57.7,41.68,7.92,4.79,-53.2
2023-02-12 12:12:38+00:00,22050738,1360239158,36.46718,-79.82747,13528.8,61.57,41.15,7.78,4.79,-53.2
2023-02-12 12:12:39+00:00,22050738,1360239159,36.46735,-79.82706,13535.0,64.01,40.99,5.38,4.79,-53.3
2023-02-12 12:12:40+00:00,22050738,1360239160,36.46752,-79.82664,13541.7,64.07,41.99,8.31,4.79,-53.3
2023-02-12 12:12:41+00:00,22050738,1360239161,36.46769,-79.82622,13549.8,61.72,43.39,8.14,4.79,-53.3
2023-02-12 12:12:42+00:00,22050738,1360239162,36.46787,-79.8258,13557.7,61.33,43.08,7.74,4.79,-53.4
2023-02-12 12:12:43+00:00,22050738,1360239163,36.46806,-79.82538,13565.2,59.42,42.36,7.33,4.79,-53.4
2023-02-12 12:12:44+00:00,22050738,1360239164,36.46826,-79.82499,13573.1,58.01,41.35,8.66,4.79,-53.4
2023-02-12 12:12:46+00:00,22050738,1360239166,36.46861,-79.82421,13587.5,63.1,39.12,6.33,4.79,-53.5
2023-02-12 12:12:48+00:00,22050738,1360239168,36.4689,-79.82345,13600.7,64.31,35.65,6.76,4.79,-53.5
2023-02-12 12:12:50+00:00,22050738,1360239170,36.46921,-79.82272,13614.6,59.45,38.96,8.26,4.79,-53.6
2023-02-12 12:12:51+00:00,22050738,1360239171,36.4694,-79.82234,13621.6,58.54,40.71,6.13,4.79,-53.7
2023-02-12 12:12:52+00:00,22050738,1360239172,36.46959,-79.82194,13627.8,59.82,42.16,6.79,4.78,-53.7
2023-02-12 12:12:53+00:00,22050738,1360239173,36.46977,-79.82153,13634.1,62.8,42.49,6.16,4.78,-53.8
2023-02-12 12:12:54+00:00,22050738,1360239174,36.46994,-79.82111,13640.3,63.04,41.71,6.15,4.78,-53.8
2023-02-12 12:12:55+00:00,22050738,1360239175,36.47011,-79.82071,13645.2,62.61,38.77,4.45,4.78,-53.8
2023-02-12 12:12:56+00:00,22050738,1360239176,36.47027,-79.82035,13651.2,59.61,35.38,7.54,4.78,-53.8
2023-02-12 12:12:57+00:00,22050738,1360239177,36.47043,-79.82001,13656.6,58.54,35.27,3.44,4.78,-53.9
2023-02-12 12:12:58+00:00,22050738,1360239178,36.4706,-79.81968,13661.8,58.99,35.18,6.83,4.78,-53.9
2023-02-12 12:12:59+00:00,22050738,1360239179,36.47075,-79.81933,13668.8,62.54,35.93,7.21,4.78,-53.9
2023-02-12 12:13:01+00:00,22050738,1360239181,36.47103,-79.81856,13683.1,66.67,38.83,5.28,4.78,-54.0
2023-02-12 12:13:03+00:00,22050738,1360239183,36.4713,-79.81776,13697.2,67.61,38.97,8.37,4.78,-54.1
2023-02-12 12:13:04+00:00,22050738,1360239184,36.47144,-79.81736,13704.2,63.93,39.78,5.8,4.78,-54.2
2023-02-12 12:13:05+00:00,22050738,1360239185,36.4716,-79.81697,13710.5,63.31,39.5,6.43,4.78,-54.1
2023-02-12 12:13:06+00:00,22050738,1360239186,36.47176,-79.81657,13717.1,63.07,39.86,6.71,4.78,-54.1
2023-02-12 12:13:07+00:00,22050738,1360239187,36.47193,-79.81618,13725.7,61.52,40.59,10.25,4.78,-54.2
2023-02-12 12:13:08+00:00,22050738,1360239188,36.4721,-79.81578,13733.5,62.75,40.42,5.65,4.78,-54.2
2023-02-12 12:13:09+00:00,22050738,1360239189,36.47226,-79.81539,13739.7,63.92,38.63,6.77,4.78,-54.2
2023-02-12 12:13:10+00:00,22050738,1360239190,36.47241,-79.81502,13745.6,64.38,34.99,5.09,4.78,-54.2
2023-02-12 12:13:11+00:00,22050738,1360239191,36.47253,-79.81467,13750.7,66.64,33.0,4.8100000000000005,4.78,-54.3
2023-02-12 12:13:12+00:00,22050738,1360239192,36.47264,-79.81434,13758.0,68.79,31.51,9.45,4.78,-54.3
2023-02-12 12:13:14+00:00,22050738,1360239194,36.47287,-79.81367,13775.3,63.24,34.67,6.24,4.78,-54.4
2023-02-12 12:13:16+00:00,22050738,1360239196,36.4732,-79.81298,13789.7,56.69,36.26,8.49,4.74,-54.4
2023-02-12 12:13:17+00:00,22050738,1360239197,36.47339,-79.81264,13798.3,55.67,36.72,8.88,4.74,-54.4
2023-02-12 12:13:18+00:00,22050738,1360239198,36.47356,-79.81229,13806.1,60.52,38.14,6.94,4.74,-54.4
2023-02-12 12:13:19+00:00,22050738,1360239199,36.47373,-79.81191,13812.0,62.63,38.78,5.21,4.74,-54.4
2023-02-12 12:13:20+00:00,22050738,1360239200,36.47388,-79.81151,13817.3,66.2,39.8,5.39,4.74,-54.4
2023-02-12 12:13:21+00:00,22050738,1360239201,36.47402,-79.8111,13822.9,67.19,40.4,5.77,4.74,-54.5
2023-02-12 12:13:22+00:00,22050738,1360239202,36.47416,-79.8107,13829.1,65.57,38.37,6.72,4.74,-54.5
2023-02-12 12:13:23+00:00,22050738,1360239203,36.47431,-79.81033,13835.5,62.34,36.36,6.04,4.74,-54.5
2023-02-12 12:13:24+00:00,22050738,1360239204,36.47447,-79.80997,13842.2,59.0,35.86,7.54,4.75,-54.6
2023-02-12 12:13:25+00:00,22050738,1360239205,36.47463,-79.80964,13848.6,59.87,34.94,5.47,4.75,-54.6
2023-02-12 12:13:27+00:00,22050738,1360239207,36.47495,-79.80893,13863.5,62.25,37.41,6.17,4.75,-54.6
2023-02-12 12:13:29+00:00,22050738,1360239209,36.47523,-79.80818,13876.0,65.69,35.0,6.7,4.75,-54.6
2023-02-12 12:13:31+00:00,22050738,1360239211,36.47548,-79.80752,13887.4,64.53,30.25,4.68,4.75,-54.8
2023-02-12 12:13:32+00:00,22050738,1360239212,36.4756,-79.80722,13893.9,63.92,29.93,8.42,4.77,-54.8
2023-02-12 12:13:33+00:00,22050738,1360239213,36.47572,-79.80691,13901.5,63.24,32.37,7.11,4.77,-54.9
2023-02-12 12:13:34+00:00,22050738,1360239214,36.47586,-79.80657,13909.0,64.7,35.75,7.87,4.77,-55.0
2023-02-12 12:13:35+00:00,22050738,1360239215,36.476,-79.80619,13916.5,66.45,39.12,7.35,4.77,-55.0
2023-02-12 12:13:36+00:00,22050738,1360239216,36.47614,-79.80579,13922.2,66.56,39.56,4.28,4.77,-55.0
